T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.03,2.78,1.1278,1.1066402897311876,0.02115971026881236
25,NaCl,1,0.5,0.03,3.59,1.0644,1.0786873973214257,0.014287397321425699
25,NaCl,1,0.5,0.03,4.64,1.1219,1.1038790715099536,0.01802092849004633
25,NaCl,1,0.5,0.03,5.99,1.0442,1.064284340507119,0.020084340507118936
25,NaCl,1,0.5,0.03,7.74,1.09,1.0812383715253713,0.008761628474628802
25,NaCl,1,0.5,0.03,10.0,1.0784,1.0800593536902254,0.001659353690225407
25,NaCl,1,0.5,0.03,12.9,1.0769,1.079317680840211,0.0024176808402109895
25,NaCl,1,0.5,0.03,16.7,1.0875,1.083576894148516,0.003923105851483921
25,NaCl,1,0.5,0.03,21.5,1.0707,1.0778191694248558,0.007119169424855798
25,NaCl,1,0.5,0.03,27.8,1.0903,1.0893004296719908,0.000999570328009236
25,NaCl,1,0.5,0.03,35.9,1.0897,1.0946047547631375,0.004904754763137564
25,NaCl,1,0.5,0.03,46.4,1.1134,1.109631301116053,0.0037686988839469304
25,NaCl,1,0.5,0.03,59.9,1.1095,1.112536569573365,0.0030365695733651776
25,NaCl,1,0.5,0.03,77.4,1.1353,1.1330573969104722,0.0022426030895277282
25,NaCl,1,0.5,0.03,100.0,1.1587,1.144887578563074,0.013812421436925959
25,NaCl,1,0.5,0.02,1.0,1375.0867,1653.9991266321001,278.91242663210005
25,NaCl,1,0.5,0.02,1.29,1120.16155,1197.177877466044,77.016327466044
25,NaCl,1,0.5,0.02,1.67,912.57682,927.9806850586144,15.403865058614429
25,NaCl,1,0.5,0.02,2.15,743.5690999999999,756.3189655915007,12.749865591500793
25,NaCl,1,0.5,0.02,2.78,605.04765,609.7796109367416,4.731960936741643
25,NaCl,1,0.5,0.02,3.59,491.67945000000003,494.98768712565527,3.308237125655239
25,NaCl,1,0.5,0.02,4.64,398.74535000000003,400.0246633003708,1.2793133003707453
25,NaCl,1,0.5,0.02,5.99,322.96715,325.98117225236393,3.0140222523639295
25,NaCl,1,0.5,0.02,7.74,261.55705,262.7889709250867,1.2319209250866834
25,NaCl,1,0.5,0.02,10.0,211.85125,212.8870969097679,1.035846909767912
25,NaCl,1,0.5,0.02,12.9,171.4987,173.5798778061824,2.0811778061823816
25,NaCl,1,0.5,0.02,16.7,138.91750000000002,140.2749152859325,1.3574152859324897
25,NaCl,1,0.5,0.02,21.5,112.8627,114.77512944229971,1.912429442299711
25,NaCl,1,0.5,0.02,27.8,92.1382,94.64725125142083,2.5090512514208285
25,NaCl,1,0.5,0.02,35.9,75.6323,78.27381585348333,2.6415158534833267
25,NaCl,1,0.5,0.02,46.4,62.4049,64.84922810023791,2.444328100237911
25,NaCl,1,0.5,0.02,59.9,51.76855,54.57501310861009,2.806463108610089
