T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,4.0,12.9,49.166,62.885374451336425,50.882242600273074,59.77902072731947,54.469288,19.38584795483941
25,NaCl,1,0.5,4.0,16.7,41.664,41.31417290743316,44.00540197450436,47.2630478750679,44.560528,19.139557306806427
25,NaCl,1,0.5,4.0,21.5,35.43,41.31417290743316,36.33142850547683,38.78643438979074,37.4692,18.832920867102946
25,NaCl,1,0.5,4.0,27.8,30.241,27.85530621252053,30.71451617811712,33.70521204822143,29.98458,18.437903390627312
25,NaCl,1,0.5,4.0,35.9,25.94,27.85530621252053,26.6568793680057,26.99912955481977,23.867146,17.942173872628896
25,NaCl,1,0.5,4.0,46.4,22.377,27.85530621252053,23.169074103818293,23.14807730269134,21.557558,17.319345800019246
25,NaCl,1,0.5,4.0,59.9,19.39,19.33604460493071,20.262642101166108,21.277445811423576,18.304655,16.550229736945138
25,NaCl,1,0.5,4.0,77.4,16.909,19.33604460493071,16.775670617624336,18.80045394002657,17.250061,15.603836731887672
25,NaCl,1,0.5,4.0,100.0,14.855,13.913579989068783,15.158283214126701,15.664686053533655,14.17052,14.461261302817825
25,NaCl,1,0.5,4.0,129.0,13.116,13.913579989068783,14.163017917458252,13.046124965546998,12.772153,13.116823470358543
25,NaCl,1,0.5,4.0,167.0,11.459,13.913579989068783,11.89564489304639,11.43884408763108,11.305789,11.542490773775693
25,NaCl,1,0.5,4.0,215.0,10.171,10.202662042201037,10.554431403595169,10.870418981893302,11.305789,9.82103971924684
25,NaCl,1,0.5,4.0,278.0,9.0412,10.202662042201037,9.066460869487443,10.591603731896296,11.305789,7.945038433346676
25,NaCl,1,0.5,4.0,359.0,7.6814,7.856453419010117,7.923222929879526,9.880314311685282,10.834096,6.049664099300896
25,NaCl,1,0.5,4.0,464.0,6.8257,7.856453419010117,7.687359115219605,10.214459029703391,10.159034,4.249085661216161
25,NaCl,1,0.5,4.0,599.0,8.026,7.856453419010117,8.109086873171139,9.49929814532762,9.505826,2.697869376806528
25,NaCl,1,0.5,4.0,774.0,8.6107,9.027156768028622,8.760272173355533,9.430438786488823,9.715771,1.4972510513325445
25,NaCl,1,0.5,4.0,1000.0,9.0732,9.027156768028622,8.99368893510132,9.405166038502161,9.799682,0.6999103036439959
25,NaCl,1,0.5,0.2,0.1,5.5737,4.68314619388565,5.041250538504637,7.653215783910452,7.487818,15.026411385559243
25,NaCl,1,0.5,0.2,0.141,6.4497,4.68314619388565,4.847657359148503,8.273537880801312,7.648331,15.024338562667214
25,NaCl,1,0.5,0.2,0.198,5.3465,4.68314619388565,4.994881810753416,5.097801324270692,4.944051,15.021457308358338
25,NaCl,1,0.5,0.2,0.278,4.7967,4.68314619388565,4.65761937787196,3.836975372533443,3.1825635,15.017414374600623
